Id,Label,timeset,Gender,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class
435,"William of Bondington, bishop of Glasgow (d.1258)",,M,8,9,17,12,11,23,71
445,"Patrick (II), earl of Dunbar (d.1248)",,M,1,9,10,3,19,22,3
446,"Patrick (III), earl of Dunbar (d.1289)",,M,1,9,10,1,18,19,72
891,"William de Vaux, knight (d.1221x38)",,M,1,9,10,1,13,14,69
1317,"John White, prior of St Andrews (d.1258)",,M,2,9,11,2,12,14,73
2006,"Ralph of Greenlaw, abbot of Dunfermline (fl.1275-96)",,M,0,9,9,0,9,9,87
39,"Hugh de Sigillo, bishop of Dunkeld (d.1229 or 1230)",,M,0,8,8,0,14,14,67
85,"Arnold, bishop of St Andrews (d.1162)",,M,2,8,10,2,19,21,73
189,Durham Cathedral Priory,,I,33,8,41,55,9,64,73
850,"John Scott, bishop of Dunkeld (d.1203)",,M,1,8,9,2,12,14,74
1938,"Robert Bruce V, lord of Annandale (d.1295)",,M,9,8,17,9,10,19,67
1971,Alan Durward (d.1275),,M,1,8,9,1,14,15,74
2009,"John of Haddington, prior of St Andrews (d.1304)",,M,1,8,9,1,10,11,9
2032,"Richard of Inverkeithing, bishop of Dunkeld (d.1272)",,M,1,8,9,1,12,13,73
4712,"Ralph Kerneth, prior of Durham (d.1234)",,M,0,8,8,0,8,8,0
5370,"Richard of Claxton, prior of Durham (fl.1272-85)",,M,0,8,8,0,8,8,69
89,"John, abbot of Kelso (d.1180)",,M,2,7,9,2,8,10,69
171,Thomas Durward (d.1228x33),,M,0,7,7,0,9,9,68
310,William de Moreville (d.1196),,M,0,7,7,0,13,13,71
449,"William Fraser, bishop of St Andrews (d.1297)",,M,0,7,7,0,10,10,9
484,"Hugh, bishop of St Andrews (d.1188)",,M,0,7,7,0,18,18,73
500,"Osbert, abbot of Kelso (d.1203)",,M,1,7,8,1,7,8,77
781,"Richard of Lincoln, bishop of Moray (d.1203)",,M,1,7,8,8,9,17,68
1215,"Simon, prior of St Andrews (fl.1212-25)",,M,0,7,7,0,7,7,92
1433,Edward of Restalrig,,M,0,7,7,0,7,7,3
2110,"William of Brechin, knight",,M,0,7,7,0,10,10,74
2142,"Malcolm (I), earl of Lennox",,M,6,7,13,8,13,21,66
3231,Chapter of Dunkeld,,I,0,7,7,0,12,12,73
4427,"William, son of Earl Patrick (I) (d.1253)",,M,1,7,8,1,13,14,3
11582,"Robert of Lyne, son of David",,M,0,7,7,0,9,9,1
2,"Matthew, bishop of Aberdeen (d.1199)",,M,1,6,7,3,10,13,73
124,"Cospatric, earl of Dunbar (d.1166)",,M,0,6,6,0,13,13,72
170,Robert Bruce II (d.1194),,M,3,6,9,3,6,9,75
749,"Abraham, bishop of Dunblane (fl.1210x14-1220x25)",,M,0,6,6,0,7,7,67
760,"Brice Douglas, bishop of Moray (d.1222)",,M,5,6,11,7,10,17,68
1477,"Ragnvald, king of the Isles (d.1229)",,M,0,6,6,0,6,6,9
2067,"Gilbert Hay (I), lord of Errol (d.1263) (son of David)",,M,5,6,11,5,9,14,67
2274,"William, bishop of Dunblane (d.1291x)",,M,0,6,6,0,6,6,92
4467,John Bisset,,M,3,6,9,4,10,14,69
4681,"Affrica, daughter of Edgar, son of Donald",,F,1,6,7,1,7,8,71
6,"Walter Barclay, chamberlain (d.c.1193)",,M,2,5,7,3,5,8,68
7,Dunfermline Abbey (fd.1128),,I,71,5,76,160,5,165,73
59,"Gregory, bishop of Brechin (fl.1189x98-1242x46)",,M,1,5,6,3,10,13,68
66,"David Hay, lord of Errol (d.1237x41)",,M,2,5,7,5,6,11,71
75,Melrose Abbey (fd.1136),,I,158,5,163,339,5,344,71
131,St Andrews Cathedral Priory,,I,101,5,106,251,7,258,73
140,"Herbert, bishop of Glasgow (d.1164)",,M,4,5,9,4,8,12,72
197,William Lindsay (II) (d.c.1205),,M,0,5,5,0,6,6,9
204,"Waltheof, earl of Dunbar (d.1182)",,M,0,5,5,0,10,10,72
240,"Uhtred, lord of Galloway (d.1174)",,M,0,5,5,0,7,7,68
249,"Edgar, king of Scots (d.1107)",,M,0,5,5,0,12,12,3
260,"Gilbert or Gilla Brigte, earl of Strathearn (d.1223)",,M,1,5,6,4,24,28,67
448,"Florence, bishop-elect of Glasgow (d.1210)",,M,1,5,6,1,9,10,71
468,"Gilbert, bishop of Dunkeld (d.1236)",,M,0,5,5,0,8,8,73
494,"Simon de Liberatione, bishop of Dunblane (fl.1173x77-c.1195)",,M,0,5,5,0,6,6,68
754,William Bruce (d.1211/12),,M,1,5,6,1,7,8,71
798,"Richard de Prebenda, bishop of Dunkeld (d.1210)",,M,0,5,5,0,6,6,74
970,"Walter of Lundin, son of Philip the chamberlain",,M,1,5,6,1,6,7,73
1092,"Gregory Melville (II), son of William",,M,0,5,5,0,6,6,73
1285,"Walter Oliphant, justiciar of Lothian (son of Walter) (d.1242)",,M,0,5,5,0,5,5,3
1358,Alexander Stewart of Dundonald (d.1282),,M,0,5,5,0,14,14,66
1720,Chapter of Glasgow,,I,1,5,6,1,6,7,66
1857,"Robert Bruce IV, lord of Annandale (d.1226x33)",,M,4,5,9,4,5,9,67
1899,"John, earl of Huntingdon and Chester (d.1237)",,M,0,5,5,0,12,12,67
2176,"John Comyn, lord of Badenoch (d.1302)",,M,0,5,5,0,10,10,69
2208,"Reginald Cheyne, father (d.c.1293)",,M,1,5,6,1,6,7,68
2362,Adam Malherbe of Morham,,M,0,5,5,0,7,7,1
3067,"Richard of Leicester, burgess of Perth",,M,0,5,5,0,7,7,73
3398,"James, legate (fl.1220-21)",,M,0,5,5,0,7,7,9
3505,"Robert, earl of Strathearn (1223-45)",,M,0,5,5,0,13,13,67
4083,"John of Methil, son of Michael the clerk",,M,0,5,5,0,8,8,71
5312,Adam of Little Reston,,M,1,5,6,1,6,7,3
8515,John of Inchyra (son of Duncan),,M,0,5,5,0,5,5,67
10677,"Elizabeth Bisset, wife of Andrew del Bois",,F,0,5,5,0,7,7,69
11785,"Gregory, marischal of Coldingham",,M,0,5,5,0,5,5,3
13595,"Robert of London, son of Richard of London",,M,0,5,5,0,7,7,9
14974,"Eve Murdoch, lady of Rothes",,F,0,5,5,0,5,5,69
14,Robert de Quincy (d.1200),,M,0,4,4,0,5,5,68
15,"Philip de Valognes, chamberlain (d.1215)",,M,0,4,4,0,4,4,74
144,Gilbert de Umfraville (fl.c.1140-90),,M,0,4,4,0,5,5,72
238,"Malcolm, earl of Atholl (d.c.1197)",,M,0,4,4,0,4,4,73
275,"Alexander de St Martin, sheriff",,M,2,4,6,2,4,6,73
331,"Godred, king of the Isles (d.1187)",,M,0,4,4,0,4,4,75
420,"Archibald, bishop of Moray (d.1298)",,M,7,4,11,9,6,15,69
755,"Fergus, earl of Buchan (d.x1214)",,M,0,4,4,0,4,4,68
772,"Henry, abbot of Kelso (d.1218)",,M,1,4,5,1,4,5,66
809,"Ralph, bishop of Brechin  (d.1212x14)",,M,0,4,4,0,16,16,68
818,"Roger, prior of Paisley (fl.1195x96-1208x14)",,M,0,4,4,0,4,4,66
899,Everard of Pencaitland,,M,0,4,4,0,4,4,73
916,"Alexander, son of William, sheriff of Stirling",,M,0,4,4,0,5,5,66
940,"Richard Melville, son of Gregory",,M,2,4,6,5,4,9,68
1043,Eschina of Mow/London,,F,0,4,4,0,9,9,72
1199,"Ralph, son of Ealhweald ",,M,0,4,4,0,8,8,3
1204,"Gilbert of Stirling, bishop of Aberdeen (d.1239)",,M,0,4,4,0,8,8,68
1309,"Edgar, son of Donald",,M,0,4,4,0,5,5,72
1419,John Balliol (d.1268),,M,2,4,6,2,5,7,9
1508,"Olaf II, king of the Isles (d.1237)",,M,0,4,4,0,4,4,9
1695,"Walter Murray of Petty (son of William (II) Freskin Murray, d.1226)",,M,1,4,5,5,4,9,69
2039,"Geoffrey de Liberatione, bishop of Dunkeld (d.1249)",,M,1,4,5,1,4,5,71
2041,"William, earl of Mar (d.a.1281)",,M,1,4,5,1,4,5,67
2050,"Malise (III), earl of Strathearn (d.in or a.1317)",,M,0,4,4,0,6,6,67
2116,"John of Denmuir, knight",,M,2,4,6,2,5,7,74
2201,"Herbert Maxwell, son of Aymer Maxwell",,M,3,4,7,3,5,8,66
2258,"Alexander de Vaux, knight",,M,0,4,4,0,8,8,9
2562,"Nicholas, bishop of the Isles (Koli or Meaux)",,M,0,4,4,0,4,4,9
3127,"Malcolm, earl of Fife (I or II)",,M,0,4,4,0,5,5,99
3497,"Fergus, son of Gilbert, earl of Strathearn (d.c.1247)",,M,0,4,4,0,7,7,67
3531,"Herbert Maunsel, abbot of Kelso (fl.1221-39)",,M,1,4,5,1,4,5,71
3671,Bertram of Little Reston (son of Adam of Little Reston),,M,0,4,4,0,9,9,3
4589,"Alwine (II), earl of Lennox",,M,0,4,4,0,4,4,66
5648,"Conan / Cumming, son of  Earl Henry of Atholl",,M,0,4,4,0,4,4,67
6729,"Ralph Noble, father",,M,0,4,4,0,4,4,66
6771,"Thomas of Restalrig, sheriff of Edinburgh",,M,1,4,5,1,4,5,73
7026,Brice of Ardrossan,,M,0,4,4,0,10,10,69
7984,"John, son of Bertram, Lord of Little Reston ",,M,3,4,7,3,11,14,3
8146,Elias Chaunum of Ayton,,M,0,4,4,0,5,5,3
8911,"Muriel of Pollok, lady of Rothes",,F,0,4,4,0,5,5,69
10728,John Brack,,M,0,4,4,0,4,4,9
11693,"Mabel, daughter of Constantine of Coldingham ",,F,0,4,4,0,5,5,3
64,"Henry of Stirling, son of Earl David",,M,1,3,4,1,3,4,74
65,"Henry of Brechin, son of Earl David (d.c.1245)",,M,0,3,3,0,3,3,69
135,Walter Lindsay (II) (d.c.1165),,M,0,3,3,0,3,3,9
143,"Ingram, bishop of Glasgow (d.1174)",,M,2,3,5,2,3,5,68
256,"Walter, prior of St Andrews (fl.1160-1198x99)",,M,1,3,4,1,3,4,68
265,"Alexander I, king of Scots (d.1124)",,M,0,3,3,0,4,4,73
406,"Alan, bishop of Argyll (d.1262)",,M,0,3,3,0,5,5,66
443,"Cospatric, earl of Dunbar (d.1138)",,M,0,3,3,0,3,3,3
454,"Thomas of Galloway, earl of Atholl (d.1231)",,M,0,3,3,0,5,5,74
481,"Herbert, dean of Glasgow (fl.1179x89-1204x07)",,M,0,3,3,0,3,3,69
488,"John, bishop of Aberdeen (d.1207)",,M,0,3,3,0,6,6,68
491,"Jonathan, bishop of Dunblane (d.1209/10)",,M,0,3,3,0,3,3,68
493,"John of Leicester, bishop of Dunkeld (d.1214)",,M,0,3,3,0,4,4,68
504,"Richard, bishop of Dunkeld (d.1178)",,M,0,3,3,0,3,3,68
699,"Geoffrey de Percy, son of Alan",,M,0,3,3,0,4,4,9
780,"Adam of Calder, bishop of Aberdeen (d.1228)",,M,0,3,3,0,6,6,73
789,"Gilbert Murray, bishop of Caithness (d.1245)",,M,3,3,6,3,3,6,78
837,"Thomas, prior of St Andrews (fl.1199-1211)",,M,0,3,3,0,5,5,73
902,William Maule (12C),,M,0,3,3,0,6,6,72
1080,William de Heriz,,M,0,3,3,0,3,3,75
1106,Philip de Mowbray,,M,1,3,4,1,5,6,73
1135,"David de Bonville, marischal (fl.late 12C-mid13C)",,M,0,3,3,0,3,3,72
1209,Edward of Oldcambus,,M,1,3,4,1,4,5,73
1220,Helen de Moreville (d.1217),,F,1,3,4,1,3,4,9
1357,"Walter Comyn, earl of Menteith (d.1258)",,M,1,3,4,1,4,5,69
1366,"John de Montfort, son of William",,M,0,3,3,0,3,3,1
1587,"William II, king of England (d.1100)",,M,0,3,3,0,3,3,3
1747,Reginald de Warenne (d.a.1247),,M,0,3,3,0,5,5,67
1764,Peter Graham,,M,0,3,3,0,3,3,70
1770,Hugh Balliol (d.1229),,M,0,3,3,0,4,4,72
1849,John of Wilton,,M,0,3,3,0,3,3,66
1951,"William, son of Geoffrey, lord of Ord",,M,0,3,3,0,3,3,66
1995,"Eustace Balliol, lord of Tours (d.a.1276)",,M,0,3,3,0,4,4,68
2023,"Henry, bishop of Whithorn (d.1293)",,M,1,3,4,1,4,5,9
2056,"William Wishart, bishop of St Andrews (d.1279)",,M,3,3,6,3,3,6,67
2077,"Simon of Kinnear (III), son of Simon",,M,0,3,3,0,3,3,73
2114,Roger de Mowbray,,M,0,3,3,0,4,4,74
2119,"John Comyn, lord of Badenoch (d.1277)",,M,0,3,3,0,3,3,67
2135,"Duncan, earl of Carrick (d.1250)",,M,0,3,3,0,11,11,71
2137,"Gilbert de Umfraville, earl of Angus (d.1307)",,M,0,3,3,0,3,3,92
2151,"Walter Stewart, earl of Menteith (d.c.1293)",,M,0,3,3,0,3,3,92
2153,"Mary, wife of John of the Wardrobe",,F,0,3,3,0,5,5,66
2158,John of the Wardrobe,,M,0,3,3,0,5,5,66
2186,"Simon, abbot of Dunfermline (fl.1267-75)",,M,0,3,3,0,4,4,93
2209,"Donald, earl of Mar (d.1297x1305)",,M,0,3,3,0,3,3,67
2211,Chapter of Aberdeen,,I,0,3,3,0,3,3,86
2223,"Roger Avenel, sheriff (d.1243)",,M,0,3,3,0,3,3,71
2231,"Robert of Leicester/Craigie, dean of Aberdeen (d.1277x88)",,M,0,3,3,0,3,3,86
2247,"David of Strathbogie, earl of Atholl (d.1270)",,M,1,3,4,1,3,4,69
2321,"Nigellus (Niall), earl of Carrick",,M,0,3,3,0,3,3,66
2361,"Robert de Stuteville, bishop of Dunkeld (d.1282x83)",,M,0,3,3,0,4,4,73
2394,"Robert of Holy Island, bishop of Durham (d.1283)",,M,0,3,3,0,3,3,3
3234,"Walter, abbot of Arbroath (fl.1247-58x)",,M,0,3,3,0,3,3,74
3349,"Thomas, abbot of Lindores (d.1273)",,M,2,3,5,2,3,5,67
3370,"Richard of Fans (early 13C, father of Adam)",,M,0,3,3,0,3,3,72
3417,"Adam, son of Abraham of Lour /Nevay",,M,0,3,3,0,4,4,74
3427,"Adam of Kilconquhar, earl of Carrick (d.1271)",,M,0,3,3,0,4,4,73
3561,"William, abbot of Paisley (fl.1225/26-1266)",,M,4,3,7,4,3,7,66
3645,David of Paxton,,M,0,3,3,0,5,5,3
3666,"Patrick, son of Colman",,M,1,3,4,1,3,4,3
3714,"Patrick (I or II), earl of Dunbar",,M,0,3,3,0,3,3,72
3784,"Thomas of Melsonby, prior of Durham (fl.1229-44)",,M,1,3,4,1,3,4,73
4040,Laurence Abernethy (fl.1180sx1230s),,M,3,3,6,5,3,8,71
4401,"Thomas, prior of Coldingham (fl.1212-22x29)",,M,0,3,3,0,3,3,3
4435,Alexander Seton (mid13C),,M,0,3,3,0,3,3,73
4438,John de Normanville (d.1240),,M,0,3,3,0,9,9,71
4520,"Thomas, son of David of Quixwood",,M,0,3,3,0,7,7,3
4532,"Otto de Tonengo, papal legate (d.1250/1)",,M,0,3,3,0,3,3,66
4640,"Margaret of Ceres, wife of Michael Scott",,F,0,3,3,0,5,5,73
4664,"Malcolm, son of Earl Mael Domnaig of Lennox (d.c.1248)",,M,0,3,3,0,3,3,66
5390,Robert Lavird of Auchencrow,,M,0,3,3,0,3,3,3
5611,"Adam, son of Eadwulf",,M,0,3,3,0,4,4,1
5777,"William, son of Patrick, son of Cospatric",,M,0,3,3,0,12,12,72
6096,Ness of London (d.1232/3),,M,0,3,3,0,4,4,1
6518,"Helen, daughter of Alan of Galloway, wife of Roger de Quincy",,F,0,3,3,0,5,5,66
6773,"Thomas of Lundin, son of Walter, sheriff of Fife (fl.1200x27)",,M,0,3,3,0,4,4,73
7387,"William, earl of Ross (d.1274)",,M,0,3,3,0,7,7,69
7957,"Robert, son of Reginald of Great Reston",,M,0,3,3,0,6,6,3
8148,Robert of Prenderguest,,M,0,3,3,0,4,4,3
8339,"Hugh of Nydie (II), puer of Bishop Malveisin",,M,0,3,3,0,4,4,73
8392,"John Gray of Ayton, mayor of Berwick",,M,0,3,3,0,3,3,69
8440,Thomas of Thirlestane (d.1228),,M,0,3,3,0,3,3,9
8778,"Walter de Bolbec, younger",,M,0,3,3,0,6,6,69
9218,David of Inverlunan,,M,0,3,3,0,3,3,69
9285,"William Bisset (early 13C), brother of John",,M,1,3,4,1,3,4,69
9354,Fergus of Ardrossan (13C),,M,0,3,3,0,3,3,69
10319,"Scholastica, daughter of Merleswain of Ardross",,F,0,3,3,0,3,3,73
10322,"John Avenel, son of Gervase Avenel",,M,1,3,4,1,3,4,73
10450,"Roger, son of Baldric ",,M,0,3,3,0,5,5,74
10676,Andrew del Bois,,M,0,3,3,0,4,4,69
10730,Elias of Brotherstone,,M,0,3,3,0,6,6,9
10739,Thomas of Brotherstone,,M,0,3,3,0,6,6,9
10899,"David de Lizars, lord of Gorton",,M,0,3,3,0,3,3,1
11150,"John, son of Eilaf of Elliston ",,M,0,3,3,0,4,4,9
11174,Ralph Nanus (le Nain),,M,0,3,3,0,3,3,66
11805,Stephen Stampard,,M,0,3,3,0,3,3,3
11881,"John Condam, swineherd of Coldingham ",,M,0,3,3,0,3,3,3
11988,"Simon Cornet, son of John Cornet",,M,0,3,3,0,3,3,66
12072,"Solomon Frebern of Lamberton ",,M,0,3,3,0,3,3,3
12112,John of Howburn,,M,0,3,3,0,6,6,3
12176,Richard of Prenderguest,,M,0,3,3,0,3,3,3
12233,"Nicholas, son of Thomas of Oldcambus ",,M,0,3,3,0,3,3,3
12356,"Patrick, son of  Waltheof of Prenderguest",,M,1,3,4,1,3,4,3
12576,"Adam, marischal, son of Patrick, marischal (BWK)",,M,0,3,3,0,3,3,3
13304,"Avice, daughter of John son of Eilaf of Elliston",,F,0,3,3,0,3,3,69
13376,"Petronilla, daughter of Adam Herring of Minto",,F,0,3,3,0,4,4,69
14132,Ada Cantor (daughter of Adam of Little Reston),,F,0,3,3,0,3,3,3
14534,"Alan, son of Alan son of Cospatric of Swinton ",,M,2,3,5,2,3,5,3
15055,John Sinclair of Herdmanston,,M,0,3,3,0,3,3,9
15167,John Burgulum of Saltoun,,M,0,3,3,0,3,3,9
15359,"Alexander, lord of Stirling",,M,0,3,3,0,3,3,66
15530,"Ewen, son of Amabel daughter of Samuel, rector of Stobo ",,M,0,3,3,0,3,3,66
15743,"Constantine of Lochore (I), son of Robert of Bourguignon",,M,0,3,3,0,3,3,69
16960,"Malcolm (I) or (II), earl of Lennox",,M,0,3,3,0,3,3,2
13,"Duncan (II), earl of Fife (d.1204)",,M,1,2,3,1,8,9,73
24,"William Hay (I), lord of Errol (d.c.1201)",,M,1,2,3,2,2,4,68
33,Ranulf Soulis (d.1207),,M,0,2,2,0,2,2,73
37,Walter Murdoch,,M,0,2,2,0,2,2,69
41,Arbroath Abbey (fd.1178),,I,102,2,104,263,2,265,68
56,"Ermengarde de Beaumont, queen of Scots (d.1233)",,F,1,2,3,1,2,3,69
57,Adam of Stawell,,M,0,2,2,0,2,2,69
62,Ingram Balliol (d.1239x44),,M,1,2,3,1,2,3,75
77,Coldingham Priory (fd.1139),,I,116,2,118,199,2,201,3
79,Hugh de Moreville (I) (d.1162),,M,0,2,2,0,2,2,9
114,Richard Comyn (d.c.1179),,M,0,2,2,0,3,3,72
149,"Gregory, bishop of Dunkeld (d.1169)",,M,0,2,2,0,2,2,73
154,"Robert Avenel, lord of Eskdale (d.1185)",,M,0,2,2,0,4,4,71
155,William de Vieuxpont (II) (d.c.1203),,M,1,2,3,2,4,6,72
160,"Robert de Chesney, bishop of Lincoln (d.1166)",,M,0,2,2,0,2,2,9
172,"Ranulf Soulis, king's butler (d.1165x72)",,M,0,2,2,0,3,3,73
176,David Uvieth,,M,0,2,2,0,4,4,74
177,"Walter de Bolbec, elder",,M,0,2,2,0,2,2,69
191,"John, bishop of Glasgow (d.1147)",,M,0,2,2,0,2,2,75
297,Philip de Vermelles (father of Philip and Ralph),,M,0,2,2,0,2,2,68
354,May Priory,,I,16,2,18,35,2,37,73
356,"Adam, abbot of Arbroath (fl.1240-46)",,M,0,2,2,0,2,2,68
407,"Albin, bishop of Brechin (d.1269)",,M,0,2,2,0,3,3,67
419,"Archibald, abbot of Dunfermline (d.1198)",,M,0,2,2,0,4,4,73
425,"Henry, earl of Atholl (d.x1211)",,M,0,2,2,0,2,2,73
439,"John of Cheam, bishop of Glasgow (d.1268)",,M,3,2,5,4,3,7,66
466,"Gilbert, archdeacon of Dunblane (fl.1203x10-1235x39)",,M,0,2,2,0,2,2,67
478,"Henry, abbot of Arbroath (fl.1179-1207)",,M,2,2,4,3,2,5,69
490,"John, bishop of Whithorn (d.1209)",,M,0,2,2,0,3,3,9
496,"Harald Maddadson, earl of Orkney and Caithness (d.1206)",,M,0,2,2,0,2,2,69
575,William of Lamberton (father of William),,M,0,2,2,0,2,2,71
756,"Richard de Cane, abbot of Kelso (d.1208)",,M,0,2,2,0,2,2,77
784,"Duncan, earl of Mar (d.1242x44)",,M,1,2,3,1,2,3,86
785,"Gilchrist, earl of Mar",,M,1,2,3,1,2,3,68
791,"Hugh de Mortimer, dean of Glasgow (d.1235/6)",,M,0,2,2,0,2,2,75
803,"Patrick, abbot of Dunfermline  (fl.1202-17x1223)",,M,0,2,2,0,2,2,80
815,"Robert, bishop of Ross (d.1249)",,M,1,2,3,1,2,3,69
835,"Laurence of Thornton, archdeacon of St Andrews (d.1238x40)",,M,1,2,3,1,2,3,73
841,"Malise, son of Ferteth earl of Strathearn (d.a.1214)",,M,1,2,3,1,3,4,67
874,"Peter of Pollok, son of Fulbert",,M,0,2,2,0,5,5,66
880,"Bernard of Hadden, sheriff of Roxburgh",,M,2,2,4,2,4,6,72
935,Robert of Kent,,M,1,2,3,1,4,5,72
965,"Thomas Colville 'Scot', lord of Keresban (d.1219)",,M,0,2,2,0,3,3,1
995,"Duncan I or II, earl of Fife",,M,0,2,2,0,2,2,73
1044,Simon Fraser (TRW),,M,0,2,2,0,2,2,72
1053,Ralph de Clare,,M,1,2,3,1,3,4,72
1057,Anselm of Mow/Whitton,,M,1,2,3,2,8,10,72
1058,Richard of Lincoln (Senior),,M,1,2,3,1,6,7,72
1162,William de Vieuxpont (I) (d.1165x70),,M,0,2,2,0,4,4,3
1195,"Eve, wife of William Hay, lord of Errol",,F,1,2,3,1,2,3,68
1231,Philip Colville,,M,0,2,2,0,2,2,9
1239,Eustace de Vescy (d.1216),,M,0,2,2,0,3,3,72
1268,Richard of Kinnaird,,M,0,2,2,0,2,2,74
1292,Henry de Mandeville (Mandell),,M,0,2,2,0,3,3,9
1318,Thomas Hay (son of William),,M,0,2,2,0,2,2,70
1330,"Malcolm Hay, king's butler",,M,0,2,2,0,2,2,73
1335,"Waltheof, son of Cospatric, lord of Dalmeny and Inverkeithing",,M,0,2,2,0,2,2,73
1365,"Margery, countess of Buchan (d.c.1244)",,F,0,2,2,0,5,5,73
1389,"John Hay (I), lord of Naughton (d.xOct.1266)",,M,0,2,2,0,2,2,74
1436,Patrick of Ryedale (son of Ansketill),,M,1,2,3,1,9,10,71
1513,"Harald, king of the Isles (d.1248)",,M,0,2,2,0,2,2,9
1522,"Magnus, king of the Isles (d.1265)",,M,0,2,2,0,3,3,75
1617,"Thor, the Long",,M,0,2,2,0,2,2,3
1663,Whithorn Cathedral Priory,,I,8,2,10,8,6,14,9
1858,John Gifford (son of William son of Hugh),,M,0,2,2,0,2,2,74
1892,Simon Mauleverer,,M,0,2,2,0,2,2,72
1935,"Alexander, son of King Alexander III (d.1284)",,M,0,2,2,0,2,2,9
1956,Dervorguilla Balliol (d.1290),,F,1,2,3,2,3,5,9
1982,"Clement, bishop of Dunblane (d.1258)",,M,0,2,2,0,2,2,67
1983,"Henry Cheyne, bishop of Aberdeen (d.1328x29)",,M,0,2,2,0,2,2,68
2026,"Robert Hertford, precentor of Glasgow (fl.1223x25-1228)",,M,2,2,4,3,2,5,66
2030,"Hugh, abbot of Kelso (d.1248)",,M,2,2,4,2,2,4,71
2031,"Innocent, abbot of Inchaffray (fl.1221-35)",,M,2,2,4,2,2,4,67
2063,"Hugh Abernethy, knight (d. 1291x2)",,M,5,2,7,5,2,7,74
2066,"Richenda, daughter of Humphrey Barclay",,F,1,2,3,1,9,10,68
2072,"Richard Marsh, bishop of Durham (d.1226)",,M,1,2,3,1,3,4,72
2083,Simon (II) of Kinnear,,M,0,2,2,0,8,8,71
2094,"William Mowat, knight, sheriff (son of Michael)",,M,0,2,2,0,2,2,90
2121,Henry Hastings (d.1269),,M,0,2,2,0,2,2,71
2129,"Malcolm (II), earl of Fife (d.1266)",,M,0,2,2,0,2,2,71
